"Source:","C:\Users\Jacob.VandenBosch\OneDrive - Gentex Corporation\Documents\KiCad Projects\Logic-PCB\Logic-PCB 2\Logi-PCB-2\Logi-PCB-2.kicad_sch"
"Date:","7/11/2023 10:29:27 AM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"15","2","IC11, IC12","SN74LVC1G97QDBVRQ1","SamacSys_Parts:SN74LVC1G97QDBVRQ1","SOT95P280X145-6N","http://www.ti.com/lit/gpn/SN74LVC1G97-Q1","","SN74LVC1G97QDBVRQ1","https://www.arrow.com/en/products/sn74lvc1g97qdbvrq1/texas-instruments?region=nac","Automotive Catalog Configurable Multiple-Function Gate","1.45","Texas Instruments","SN74LVC1G97QDBVRQ1","595-SN74LVC1G97QDBQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1G97QDBVRQ1?qs=PVVDbbWpW3Kxp9COyqYPzQ%3D%3D"
"16","9","IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC20, IC21","TMUX1208QRSVRQ1","SamacSys_Parts:TMUX1208QRSVRQ1","SamacSys_Parts:TMUX1208QRSVRQ1","https://www.ti.com/lit/gpn/tmux1208-q1?HQS=ti-null-null-sf-df-pf-sep-wwe&DCM=yes?hkey=EF798316E3902B6ED9A73243A3159BB0","","TMUX1208QRSVRQ1","https://www.arrow.com/en/products/tmux1208qrsvrq1/texas-instruments?region=nac","Multiplexer Switch ICs Automotive 5-V, 8:1, 1-channel multiplexer with 1.8-V logic 16-UQFN -40 to 125","0.55","Texas Instruments","TMUX1208QRSVRQ1","595-TMUX1208QRSVRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMUX1208QRSVRQ1?qs=yqaQSyyJnNirUcV0cpxPKA%3D%3D"
"17","1","J1","CX70M-24P1","SamacSys_Parts:CX70M-24P1","SamacSys_Parts:CX70M24P1","https://www.hirose.com/en/product/document?clcode=CL0480-0304-0-00&productname=CX70M-24P1&series=CX&documenttype=2DDrawing&lang=en&documentid=CX70M-24P1_48003040_2D_ENG","","","","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Board Edge, Cutout; Surface Mount; Through Hole, Right Angle","3.81","Hirose","CX70M-24P1","798-CX70M-24P1","https://www.mouser.co.uk/ProductDetail/Hirose-Connector/CX70M-24P1?qs=NniTrqY%252BJ%252BUR9QssvRGPwA%3D%3D"
"18","1","Q1","MMBT2222AM3T5G","SamacSys_Parts:MMBT2222AM3T5G","SamacSys_Parts:SOTFL40P120X55-3N","http://www.onsemi.com/pub/Collateral/MMBT2222AM3-D.PDF","","MMBT2222AM3T5G","https://www.arrow.com/en/products/mmbt2222am3t5g/on-semiconductor?region=nac","ON SEMICONDUCTOR - MMBT2222AM3T5G - TRANSISTOR, NPN, 40V, 600MA, SOT-723-3","0.55","onsemi","MMBT2222AM3T5G","863-MMBT2222AM3T5G","https://www.mouser.co.uk/ProductDetail/onsemi/MMBT2222AM3T5G?qs=N5dOQkml4H%252BwlTOlL9%2F4UA%3D%3D"
"19","2","R1, R2","R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"20","6","R3, R4, R6, R9, R10, R15","10k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"21","10","R5, R7, R12, R13, R16, R17, R18, R19, R20, R21","51","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"22","1","R8","68","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"23","2","R11, R14","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"24","1","S1","JS203011JAQN","SamacSys_Parts:JS203011JAQN","JS203011JAQN","https://www.ckswitches.com/media/1422/js.pdf","","JS203011JAQN","https://www.arrow.com/en/products/js203011jaqn/ck?region=nac","Slide Switches .3A 6VDC DP3T RA MNT SMT J BEND","3.6","C & K COMPONENTS","JS203011JAQN","611-JS203011JAQN","https://www.mouser.co.uk/ProductDetail/CK/JS203011JAQN?qs=74EMXstkWMUwfUhh4mzExw%3D%3D"
"25","7","SW1, SW2, SW3, SW4, SW5, SW6, SW7","SW_Push","Switch:SW_Push","SamacSys_Parts:EVPASAC1A","~","","","","","","","","",""
"26","1","U1","BAT-HLD-001-TR","SamacSys_Parts:BAT-HLD-001-TR","SamacSys_Parts:BATHLD001TR","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-31/603271.pdf","","","","Coin Cell Battery Holders Linx CR2032 Battery Holder, Tape n Reel","4.2","Linx Technologies","BAT-HLD-001-TR","712-BAT-HLD-001-TR","https://www.mouser.co.uk/ProductDetail/Linx-Technologies/BAT-HLD-001-TR?qs=K5ta8V%252BWhtZh3MyWmkkmjQ%3D%3D"
"27","1","VR1","3314J-2-105E","SamacSys_Parts:3314J-2-105E","SamacSys_Parts:3314J-1","http://uk.rs-online.com/web/p/products/0177419","","3314J-2-105E","https://www.arrow.com/en/products/3314j-2-105e/bourns?region=nac","1M SMD Trimmer Potentiometer 0.25W Top Adjust Bourns 3314 Series","","Bourns","3314J-2-105E","652-3314J-2-105E","https://www.mouser.co.uk/ProductDetail/Bourns/3314J-2-105E?qs=tENXCkUKGaE%2FfdHVx4r9sQ%3D%3D"
